timestamp,date,time,pid,user,workspace,ip,client,command,args,file_path,nb_files,project,file_ext,duration_s,lapse_s,mem_cmd_mb,mem_proc_mb,rpc_in,rpc_out,db_read_locks,db_write_locks,rows_get,rows_pos,rows_scan,rows_put,rows_del
2026-04-27 16:33:00,2026-04-27,16:33:00,9544,xarbour1,Perforce_Workspace_NAD_2026_SSD,74.58.178.19,UE/v91,user-submit,-c 534187,[],0,,,0.063,.063,11,11,0,0,6,1,3,3,17,1,0
2026-04-27 16:33:04,2026-04-27,16:33:04,7704,fnormandi1,fnormandi1_GODZILLA_6514_PROTOTYPAGE_sandbox,184.163.39.90,UE/v91,user-add,D:/PROJETS/2026_CLIENTS/UQAC_Hiver_2026/Prototypage/Sandbox/Enseignant/TPs/NAND169_S01_NadParty/Content/MiniGames/TNT_BumperCar/Blueprints/BP_TagCircle.uasset,"[""D:/PROJETS/2026_CLIENTS/UQAC_Hiver_2026/Prototypage/Sandbox/Enseignant/TPs/NAND169_S01_NadParty/Content/MiniGames/TNT_BumperCar/Blueprints/BP_TagCircle.uasset""]",1,PROJETS,uasset,0.125,.125,11,11,0,0,14,5,4,32,2834,5,0
2026-04-27 16:33:05,2026-04-27,16:33:05,2784,melagoz,melagoz_surfaces,70.53.154.49,UE/v91,user-edit,E:/P4V/melagoz_surfaces/20261_NAD_NAND205_Groupe_N01/MElagoz/MElagoz_Projet4/Melagoz_Projet4/Content/Materials/MM_Standard.uasset,"[""E:/P4V/melagoz_surfaces/20261_NAD_NAND205_Groupe_N01/MElagoz/MElagoz_Projet4/Melagoz_Projet4/Content/Materials/MM_Standard.uasset""]",1,20261_NAD_NAND205_Groupe_N01,uasset,0.125,.125,11,11,0,0,11,4,4,23,2607,4,0
2026-04-27 16:33:05,2026-04-27,16:33:05,4092,fnormandi1,fnormandi1_GODZILLA_6514_PROTOTYPAGE_sandbox,184.163.39.90,UE/v91,user-add,D:/PROJETS/2026_CLIENTS/UQAC_Hiver_2026/Prototypage/Sandbox/Enseignant/TPs/NAND169_S01_NadParty/Content/MiniGames/TNT_BumperCar/Blueprints/BP_TagCircle.uasset,"[""D:/PROJETS/2026_CLIENTS/UQAC_Hiver_2026/Prototypage/Sandbox/Enseignant/TPs/NAND169_S01_NadParty/Content/MiniGames/TNT_BumperCar/Blueprints/BP_TagCircle.uasset""]",1,PROJETS,uasset,0.078,.078,11,11,0,0,14,2,3,29,2832,2,0
2026-04-27 16:33:05,2026-04-27,16:33:05,7420,asroussell,asroussell_Ann-Sophie-Rousselle-Laptop_3349,70.80.52.11,P4V/NTX64/2025.2/2796382/v98,user-sync,c:\Users\annso\Desktop\nad\20261_NAD_NAND169_N01_TP1_TeamFox\20261_NAD_NAND169_N01-Sandbox\Enseignant\TPs\NAND169_N01_NadParty\...#head,"[""c:\\Users\\annso\\Desktop\\nad\\20261_NAD_NAND169_N01_TP1_TeamFox\\20261_NAD_NAND169_N01-Sandbox\\Enseignant\\TPs\\NAND169_N01_NadParty\\...#head""]",1,20261_NAD_NAND169_N01_TP1_TeamFox,,7.95,7.95,15,15,0,0,9,5,4,6,2775,234,14
2026-04-27 16:33:22,2026-04-27,16:33:22,8076,mdesy,mdesy_home_perforce,184.147.137.173,Helix P4V/NTX64/2024.4/2695759/v97,user-sync,//20261_NAD_NAND169_N11_Sandbox/TP4/Equipe_TheBigBacks/...#head,"[""//20261_NAD_NAND169_N11_Sandbox/TP4/Equipe_TheBigBacks/...#head""]",1,20261_NAD_NAND169_N11_Sandbox,,0.11,.110,18,18,0,0,9,2,4,6,5790,2,0
2026-04-27 16:33:25,2026-04-27,16:33:25,8076,mdesy,mdesy_home_perforce,184.147.137.173,Helix P4V/NTX64/2024.4/2695759/v97,user-sync,//20261_NAD_NAND169_N11_Sandbox/TP4/Equipe_TheBigBacks/...#head,"[""//20261_NAD_NAND169_N11_Sandbox/TP4/Equipe_TheBigBacks/...#head""]",1,20261_NAD_NAND169_N11_Sandbox,,0.11,.110,18,18,0,0,9,2,4,6,5790,2,0
2026-04-27 16:33:26,2026-04-27,16:33:26,9396,gtoureille,CardsParty-Dev,132.212.101.91,IntelliJ_IDEA_resolve/2025.1/NTX64/2761706,user-resolve,-n -t C:/Users/Greg/Perforce/CardsParty-Dev/CardsParty/...,"[""C:/Users/Greg/Perforce/CardsParty-Dev/CardsParty/...""]",1,Users,,0.047,.047,11,11,0,0,15,2,6,17,2550,2,0
2026-04-27 16:33:23,2026-04-27,16:33:23,7684,mafleury,mafleury_TP4_NADParty,74.210.210.134,Helix P4V/NTX64/2024.3/2672664/v96,user-sync,//20261_NAD_NAND169_S01-Sandbox/Enseignant/TPs/NAND169_S01_NadParty/Content/Fab_Assets/...#head,"[""//20261_NAD_NAND169_S01-Sandbox/Enseignant/TPs/NAND169_S01_NadParty/Content/Fab_Assets/...#head""]",1,20261_NAD_NAND169_S01-Sandbox,,2.87,2.87,14,14,0,0,9,3,4,6,1121,3,0
2026-04-27 16:33:27,2026-04-27,16:33:27,9812,tlaperle,School_Disk_Perforce,24.48.81.229,Helix P4V/NTX64/2024.4/2695759/v97,user-revert,-a d:\Perforce\20261_NAD_NAND169_N11_Sandbox\TP4\GouliGambli\... d:\Perforce\20261_NAD_NAND169_N11_Sandbox\TP4\GouliGambli\Rawdata\T_Tuto_05.png d:\Perforce\20261_NAD_NAND169_N11_Sandbox\TP4\GouliGambli\Rawdata\T_Tuto_06.png,"[""d:\\Perforce\\20261_NAD_NAND169_N11_Sandbox\\TP4\\GouliGambli\\..."",""d:\\Perforce\\20261_NAD_NAND169_N11_Sandbox\\TP4\\GouliGambli\\Rawdata\\T_Tuto_05.png"",""d:\\Perforce\\20261_NAD_NAND169_N11_Sandbox\\TP4\\GouliGambli\\Rawdata\\T_Tuto_06.png""]",3,20261_NAD_NAND169_N11_Sandbox,png,0.125,.125,14,16,0,0,17,2,3,419,597,2,0
